No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
11;Kapan Sarekat Islam resmi didirikan?;16 Oktober 1905;5 Oktober 1908,16 Oktober 1905,16 Oktober 1905,6 Oktober 1918,10 Oktober 1921,16 Oktober 2020,16 Oktober 1905,10 September 1912,14 September 1912,16 Oktober 1923,16 Oktober 2017;16 Oktober 1905;1;0;0;0
12;Kapan Nikolai II menandatangani Manifesto Oktober?;17 Oktober 1905;17 Oktober 1905,21 September 2018,15 Maret 1917,17 Juli 1918,17 Juli 1998,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,17 Juli 1918,1 Maret 1881,20 April 1894,26 November 1894,26 Mei 1896,27 Mei 1896,28 Mei 1905,9 November 1905,25 Desember 1904,1 November 1905,12 Agustus 1904,28 Juni 1914,29 Juli 1914,17 Desember 1916,30 Desember 1916,23 Februari 1917,11 Maret 1917,20 Maret 1917,17 Juli 1918,18 Mei 1868,17 Juli 1918,1 November 1894,15 Maret 1917,1 November 1894,15 Maret 1917,15 Maret 1917,17 Juli 1918,25 Maret 2022,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,9 Maret 2022,1 November 1894,22 Januari 1905,2 Maret 1917,7 November 2021,17 Oktober 1905,16 April 1917,20 April 1917,13 Mei 1917,10 Oktober 1917,25 Desember 1918,19 Maret 1917,10 November 2017,8 September 2017,10 November 2017,14 September 2017,31 Maret 2017,10 November 2017,27 Maret 2017,26 Maret 2017,20 Oktober 2017,10 November 2017,15 September 2017,28 Oktober 2017,8 November 2017,10 November 2017,27 Mei 2015,2 Maret 2020,23 Maret 2016,7 November 2020,9 Juni 2022,3 Juni 2022,3 Juni 2022,23 Mei 2022,12 Mei 2022,12 Mei 2022,17 Oktober 1905,17 Oktober 1905,11 Desember 1905,27 April 1906,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,9 Januari 1905,17 Oktober 1905,17 Oktober 1905,12 Mei 1905,18 Februari 1905,6 Agustus 1905,6 Agustus 1905,17 Oktober 1905,17 Oktober 1905,23 April 1906,6 Agustus 1905,11 Desember 1905,20 Februari 1906,27 April 1906,17 OKTOBER 1905,17 OKTOBER 1905,17 OKTOBER 1905,17 OKTOBER 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,18 Oktober 1905,17 Oktober 1905,17 OKTOBER 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,17 Oktober 1905,27 Februari 1917,1 September 1917,24 Oktober 1917;17 Oktober 1905;1;0;0;0
13;Kapan sidang pertama Duma Negara dibuka?;23-Apr-06;12 December 1993,5 Oktober 2016,5 Oktober 2016,5 Oktober 2016,19 September 2021,20 September 2026,21 Juni 2018,24 February 2014,27 February 2014,21 June 2020,31 Maret 2022,5 Agustus 2000,18 Mei 2005,8 Mei 1994,20 Desember 2003,29 Desember 2003,7 Desember 2003,29 Desember 2003,22 Januari 1998,30 Januari 2002,11 November 1999,12 Desember 1993,11 Januari 1994,17 Desember 1995,16 Januari 1996,19 Desember 1999,18 Januari 2000,7 Desember 2003,5 Desember 1995,23 Januari 1996,5 Januari 1996,10 Januari 1996,18 Mei 2005,11 November 1999,8 Mei 1994,5 Juli 1999,7 November 1917,7 Nov 2018,7 November 1917,22 Desember 1922,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022,17 Oktober 1905,6 Juli 1906,20 Februari 1907,9 November 1906,3 Juni 1907,17 Oktober 1905,1 November 1907,9 Juni 1912,15 November 1912,25 Februari 1917,3 September 1915,16 Desember 1916,14 Februari 1917,17 Oktober 1905,17 Oktober 1905,19 Oktober 1905,22 April 1906,9 Juli 1906,27 April 1906,23 April 1906,13 Mei 1906,6 Juli 1906,9 Juli 1906,2 Juli 1907,5 Oktober 1906,9 November 1906,1 November 1907,9 Juni 1912,3 Juni 1907,3 Juni 1907,15 November 1912,25 Februari 1917,3 September 1915,16 Desember 1916,14 Februari 1917,25 Februari 1917,6 Oktober 1917,18 Desember 1917,27 April 1906,27 April 1906,8 Juli 1906,27 April 1906,6 Agustus 1905,8 Juli 1906,20 Februari 1907,2 Juni 1907,1 November 1907,3 Juni 1907,17 Oktober 1905,9 November 1906,14 Juni 1910,29 Mei 1911,15 November 1912,27 Februari 1917,6 Oktober 1917,27 April 1906,8 Juli 1906,2 Juni 1907,3 Juni 1907,3 Juni 1907,1 November 1907,3 Juni 1907,17 Oktober 1905,1 November 1907,18 Juni 1908,15 Oktober 1908,2 Juni 1909,10 Oktober 1909,17 Juni 1910,15 Oktober 1910,13 Mei 1911,15 Oktober 1911,9 Juni 1912,1 November 1907,9 Januari 1906,27 Februari 1917,2 Maret 1917,27 April 1906,27 April 1906,25 Februari 1917,27 April 1906,20 Februari 1907,1 Juni 1907,3 Juni 1907,3 Juni 1907,3 Juni 1907,1 November 1907,9 Juni 1912,3 Juni 1907,14 Juni 1910,1 November 1907,9 Juni 1912,27 April 1906,27 April 1906,27 April 1906,20 Februari 1907,1 Juni 1907,3 Juni 1907,3 Juni 1907,3 Juni 1907,5 Agustus 2000;03 Juni 1907;0;0;1;0
14;Kapan sidang pertama Duma Negara ditutup?;21 Juli 1906;30 April 2022,4 Maret 2022,4 Maret 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,18 Juni 2022,18 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,9 Juni 2022,29 Mei 2022,29 Mei 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,13 Juni 2022,11 Juni 2022,19 April 2022,10 Maret 2022,24 Februari 2022,8 Februari 2022,23 Juni 2022,20 Juni 2022,20 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,19 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,20 Juni 2022,19 Juni 2022,15 Juni 2022,15 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,19 Juni 2022,19 Juni 2022,15 Juni 2022,11 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,20 Juni 2022,19 Juni 2022,23 Juni 2022,22 Juni 2022,21 Juni 2022,20 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,26 Februari 2022,15 Desember 2021,15 Desember 2021,11 Maret 2020,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,17 Juni 2022,14 Juni 2022,3 Juni 2022,3 Juni 2022,30 April 2022,24 Februari 2022,22 Juni 2022,20 Juni 2022,16 Juni 2022,16 Juni 2022,14 Juni 2022,14 Juni 2022,2 Juni 2022,29 Mei 2022,27 Mei 2022,26 Mei 2022,24 Mei 2022,23 Mei 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,3 Maret 1924,23 Juni 2022,23 Juni 2022,22 Juni 2022;23 Juni 2022;0;1;0;0
15;Kapan Partai Demokrat Konstitusional (Kadets) menerbitkan Manifesto Vyborg yang meminta warga Rusia agar tidak membayar pajak dan tidak ikut wajib militer?;23 Juli 1906;31 Januari 1918,31 Januari 1918,8 Juni 2021,13 Mei 2022,13 Mei 2022,23 Juni 2022,23 June 2022,23 June 2022,09 Oct 2020,23 Jun 2022,23 Jun 2022,07 October 2020,21 June 2022,17 June 2022,16 June 2022,02 June 2022;31 Januari 1918;0;1;0;0
16;Kapan Raja Badung VII, I Gusti Ngurah Made Agung gugur dalam sebuah peperangan melawan Belanda?;22-Sep-06;12 Maret 2020,5 April 1876,22 September 1906,27 Mei 1904,12 Maret 2020,21 April 2020,21 April 2020,20 April 2020,20 April 2020,5 April 1876,27 Mei 1904,29 November 1842,20 September 1906,22 September 1906,4 November 2015,4 November 2015,5 April 1876,20 September 1906,13 Juli 1849,25 Oktober 1903,27 Mei 1904,20 September 1906,4 November 2015,4 November 2015,20 September 1906,20 September 1906,5 April 1876,20 September 1906,5 April 1876,20 September 1906,5 April 1876,20 September 1906,4 November 2015,20 September 1906,27 Mei 1904,9 Januari 1905,17 Juli 1906,1 September 1906,4 September 1906,14 September 1906,20 September 1906,20 September 1906,5 AprilKelahiran 1876,5 April 1876,22 September 1906,5 April 1876,22 September 1906,5 November 2015,5 AprilKelahiran 1876,22 SeptemberKematian 1906,10 Februari 2022,20 SEPTEMBER 1906,20 SEPTEMBER 1906,20 SEPTEMBER 1906,27 Mei 1904,29 Mei 1904,27 Mei 1904,9 Januari 1905,17 Juli 1906,1 September 1906,4 September 1906,12 September 1906,14 September 1906,15 September 1906,16 September 1906,17 September 1906,18 September 1906,18 September 1906,20 September 1906,20 SEPTEMBER 1906,20 SEPTEMBER 1906;20-Sep-06;0;0;1;0
17;Kapan sidang kedua Duma Negara dibuka?;20 Februari 1907;12 December 1993,5 Oktober 2016,5 Oktober 2016,5 Oktober 2016,19 September 2021,20 September 2026,21 Juni 2018,24 February 2014,27 February 2014,21 June 2020,31 Maret 2022,24 April 2014,19 Desember 2018,7 Juli 2015,12 April 2012,01 Nopember 2011,28 Nopember 2012,01 Januari 2012,31 Desember 2012,02 Agustus 2012,01 Nopember 2011,02 Agustus 2012,11 Januari 2012,01 Nopember 2011,19 Juli 2017,10 Februari 2016,19 Mei 2020,23 Oktober 2019,1 Desember 2019,2 Desember 2019,31 Desember 2019,29 Juli 2019,21 Januari 2018,22 Mei 2019,6 Agustus 2020,16 Agustus 2016,30 September 2014,25 Nopember 2020,25 Nopember 2020,28 Agustus 2015,19 Juni 2015,06 April 2015,06 April 2015,10 April 2015,06 April 2015,06 April 2015,8 Nopember 2016,24 Juli 1995,28 Februari 2019,21 Juli 2014,24 Juni 2019,16 Maret 2019,5 Januari 2022,5 Desember 2021,27 Februari 2018,16 Desember 2014,10 Maret 2014,2 April 2014,18 Jan 2022,23 Jun 2022,23 Jun 2022,30 April 2022,4 Maret 2022,4 Maret 2022,4 Maret 2022,20 Juni 2022,20 Juni 2022,16 Juni 2022,16 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,20 Juni 2022,19 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,17 Juni 2022,16 Juni 2022,18 Juni 2022,18 Juni 2022,4 Maret 2022,4 Maret 2022;04 Maret 2022;0;1;0;0
18;Kapan sidang kedua Duma Negara ditutup?;03 Juni 1907;4 Maret 2022,4 Maret 2022,12 December 1993,5 Oktober 2016,5 Oktober 2016,5 Oktober 2016,19 September 2021,20 September 2026,21 Juni 2018,24 February 2014,27 February 2014,21 June 2020,31 Maret 2022,30 April 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,18 Juni 2022,18 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,9 Juni 2022,29 Mei 2022,29 Mei 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,13 Juni 2022,11 Juni 2022,19 April 2022,10 Maret 2022,24 Februari 2022,8 Februari 2022,23 Juni 2022,20 Juni 2022,20 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,19 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,20 Juni 2022,19 Juni 2022,15 Juni 2022,15 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,19 Juni 2022,19 Juni 2022,15 Juni 2022,11 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,20 Juni 2022,19 Juni 2022,23 Juni 2022,22 Juni 2022,21 Juni 2022,20 Juni 2022,23 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,26 Februari 2022,15 Desember 2021,15 Desember 2021,11 Maret 2020,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,17 Juni 2022,14 Juni 2022,3 Juni 2022,3 Juni 2022,30 April 2022,24 Februari 2022,22 Juni 2022,20 Juni 2022,16 Juni 2022,16 Juni 2022,14 Juni 2022,14 Juni 2022,2 Juni 2022,29 Mei 2022,27 Mei 2022,26 Mei 2022,24 Mei 2022,23 Mei 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,4 Maret 2022,4 Maret 2022,4 Maret 2022,20 Juni 2022,20 Juni 2022,16 Juni 2022,16 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,20 Juni 2022,19 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,17 Juni 2022,16 Juni 2022,18 Juni 2022,18 Juni 2022,31 Januari 1918,31 Januari 1918;23 Juni 2022;0;1;0;0
19;Kapan sidang ketiga Duma Negara dibuka?;01-Nov-07;12 December 1993,5 Oktober 2016,5 Oktober 2016,5 Oktober 2016,19 September 2021,20 September 2026,21 Juni 2018,24 February 2014,27 February 2014,21 June 2020,31 Maret 2022,4 Maret 2022,4 Maret 2022,4 Maret 2022,20 Juni 2022,20 Juni 2022,16 Juni 2022,16 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,20 Juni 2022,19 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,17 Juni 2022,16 Juni 2022,18 Juni 2022,18 Juni 2022,15 Oktober 2021,13 Oktober 2021,01 Oktober 2021,7 Oktober 2021,23 September 2021,24 September 2021,6 Oktober 2021,10 September 2021,4 Oktober 2021,9 September 2021;21 Juni 2022;0;1;0;0
20;Kapan pembentukan Budi Utomo?;20 Mei 1908;23 Jun 2022,23 June 2022,18 Mei 2022,20 Mei 1908,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,10 Juni 2022,31 Mei 2022,31 Mei 2022,19 Mei 2022,27 April 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,28 Jun 2021,20 Mei 1908,5 Oktober 1909,20 Mei 1908,20 Mei 1908,5 Oktober 1908,14 September 1908,14 September 1908,9 September 1909,16 Oktober 1930,1 Juli 1924,26 Desember 1935,20 Mei 2020,24 November 2021,29 Februari 2020,24 November 2021,23 Februari 2021,24 November 2021,16 Juni 2020,24 November 2021,9 Maret 2021,24 November 2021,20 Mei 2021,25 November 2021,30 Mei 2019,25 November 2021,9 Mei 2019,25 November 2021,2 Mei 2021,24 November 2021,4 Juni 2022,17 Mei 2021,20 Mei 1908,18 Januari 2013,20 Mei 1908,5 Oktober 1908,20 Mei 1908,20 Mei 1908,8 Agustus 1908,3 Oktober 1908,3 Oktober 1988,5 Oktober 1908,5 Oktober 1908,15 Oktober 1908,28 Desember 1909,30 Agustus 2014,20 Mei 1970,21 Mei 1970,11 Oktober 1972,1 Februari 1973,19 Mei 1973,20 Mei 1908,22 Mei 1978,15 Juli 1978,18 Mei 1984,19 Mei 1985,21 Mei 1986,20 Mei 1987,20 Mei 1988,3 Oktober 1988,20 Mei 1994,20 Mei 1995,25 April 2008,5 Mei 2008,12 Mei 2008,16 Mei 2008,19 Mei 2008,19 Mei 2008,20 Mei 2022,5 Mei 2022,18 Mei 2021,23 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,17 Juni 2022,15 Juni 2022,13 Juni 2022,19 Sep 2021,20 Mei 1908,23 Juni 2022,25 Maret 2022,5 Oktober 1908,26 Desember 1935,24 Juni 2022,20 Mei 1908,30 Juli 1888,30 Mei 1938,15 Maret 1888,2 Maret 1952,1 Maret 1903,5 Oktober 1908,25 Januari 1902,20 September 1910,17 Juli 1908,24 Juli 1908,7 September 1908,5 September 1908,13 Desember 1987,20 Mei 1908,28 Juni 1885,6 Februari 1901,10 September 1910,17 September 1946,13 Desember 1959,20 Mei 2022,20 Mei 1908,20 Mei 1908,5 Februari 1933,10 Maret 1949,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022,23 Agu 2021,23 Agu 2021,20 Mei 1908,20 Juni 2022;20 Mei 1908;1;0;0;0
21;Kapan kemerdekaan Bulgaria?;22-Sep-08;3 Maret 1878,6 September 1885,22 September 1908,6 April 1909,1 Januari 2007,3 October 2005,1 January 2007,15 Oktober 1014,3 Maret 1878,9 September 1944,10 November 1989,27 Juli 2009,29 Maret 2004,25 April 2005,1 Januari 2007,1 Maret 2001,26 August 2010,21 October 2010,1 September 2009,5 November 2010,15 January 2010,26 April 2010,26 November 2010,17 March 2010,17 March 2010,6 May 2010,7 October 2010,15 June 2009,18 February 2007,17 April 2003,27 Januari 2010,17 October 1991,15 July 2009,31 Mei 2009,7 February 2010,1 Oktober 2007,4 September 2009,9 Juli 2010,11 Agustus 2009,14 Januari 2008,23 Juni 2010,10 Desember 2008,28 Juni 2010,26 August 2010,5 November 2006,26 August 2010,26 August 2010,19 Januari 2010,29 March 2004,2 November 2008,25 April 2005,2 November 2008,1 Januari 2007,2 Januari 2009,26 Mei 2010,26 August 2010,14 July 2010,26 August 2010,27 July 2008,26 November 2010,18 March 2008,30 August 2010,6 Oktober 2009,12 Maret 2009,26 August 2010,26 August 2010,30 Juli 2010,26 August 2010,26 August 2010,26 August 2010,26 August 2010,26 August 2010,31 Oktober 2010,11 Agustus 2008,24 April 2008,26 August 2010,3 September 2000,24 Juni 1999,6 August 2006,15 April 2010,29 April 2010,26 August 2010,9 September 2008,31 Juli 2006,7 May 2010,2 January 2009,2 December 2008,26 August 2010,26 August 2010,31 January 2010,26 August 2010,26 August 2010,28 October 2009,17 February 2010,30 August 2010,15 March 2008,1 September 2007,2 January 2009,27 April 2010,17 April 2004,13 October 2009,2 April 2009,4 September 2009,30 June 2010,26 August 2010,15 April 2010,15 January 2009,26 August 2010,25 July 2010,26 August 2010,26 August 2010,5 Oktober 1908,10 Agustus 1913,27 November 1919,15 September 1946,5 Oktober 1908,23 June 2022,23 June 2022,03 Mar 2021,3 Maret 1924,23 Jun 2022,23 Jun 2022,22 Januari 2017,4 Mei 2017,3 March 1878;26 Agustus 2010;0;0;1;0
22;"Kapan surat kabar Tinghoa ""Sin Po"" berperan penting dalam menyuarakan nasionalisme Indonesia didirikan?";01 Oktober 1910;7 Nov 2018,25 Oktober 2018,15 Maret 1926,1 Oktober 1910,15 Oktober 1910,15 Oktober 1910,18 November 1933,18 November 1933,28 Oktober 1928,1 April 1912,12 Februari 1921,7 April 1923,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022,23 Januari 1942,17 September 1963,27 Desember 1949,28 Oktober 1928,2 Oktober 2010,1 Mei 2019,10 November 1945,1 Maret 1949,5 Juli 1959,11 Maret 1966,5 Maret 2022;22 Juni 2022;0;1;0;0
23;Kapan kemerdekaan Mongolia?;29 Desember 1911;29 Desember 1911,11 Juli 1921,26 November 1924,5 Januari 1946,13 Februari 1992,11 Januari 2005,24 February 2019,14 September 2018,22 Juni 2022,29 Desember 1911,23 June 2022,29 Desember 1911,29 Desember 1911,29 December 2019,29 Desember 1911,28 Desember 1508,23 Juni 2022,23 Juni 2012,23 Juni 2022,10 Juli 2017,4 Oktober 2017,29 Desember 1911,11 Juli 1921,11 Juli 1921,23 Juni 2022,14 September 2019,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,23 Juni 2022;29 Desember 1911;1;0;0;0
24;Kapan pembantaian di tambang emas Lena terjadi;04-Apr-12;29 April 2022,25 Februari 2021,28 April 2022,28 April 2022,28 April 2022,8 July 2020,20 June 2022,20 June 2022,21 December 2020,24 December 2020,23 Juni 2022,23 June 2022,22 Juni 2022,22 June 2022,22 June 2022,20 June 2022,20 Juni 2022,20 June 2022,1 September 2021,23 June 2022,23 June 2022,23 June 2022,23 June 2022,23 June 2022,23 June 2022,17 Maret 2016,23 Juni 2022,8 Maret 2022,23 Juni 2022,31 Mei 2022,4 September 2019,7 Juli 2022,18 Maret 2016,3 Juli 2016,22 Agustus 2009,9 Desember 2015,23 Maret 1889,30 JUNI 2015,31 Desember 2015,31 Desember 2015,17 November 2000,1 Juli 2013,1 September 2016,22 Agustus 1927,24 Agustus 2015,12 Oktober 2002,1 Januari 2017;31 Desember 2015;0;1;0;0
